"","name","funding_looking_for","product_status","description","tags","funding_type","funding_received","funding_expected","team_size","address","email","website"
"67","D. Karmastha Pvt Ltd","","","character(0)","character(0)","Funding Type                                :  ","Total Funding Received                                :  None","Total Funding Expected                                :  None","character(0)","thamel, ktm","dkarmastha101@gmail.com","character(0)"
"68","danfebooks™","Other Opportunities","Public Beta","Payroll simplified and automated, Made in and for Nepal.

Input your employee details, attendance and choose a date to generate payroll. You're all set.

Your accountant get's any no. of employee salary sheet generated in minutes and get notified when it's ready.

Your employee can also have an access to their profile and all salary related data. Just add their email and invite to your account.

Danfe Books is a dedicated platform for small business owners and entrepreneurs. Danfe Books is compliant with Nepal's accounting and taxation laws.","
                                                    Accounting
                                                    Nepal
                                                    Payroll
                                                    Automation
                                            ","Funding Type                                :  Seed Round","Total Funding Received                                :  0 - 1million","Total Funding Expected                                :  None","Team Size: 1-10","Lazimpat, Kathmandu","humans@danfebooks.com","https://www.danfebooks.com/"
"69","De' Sweet Beans","Funding","Launched","Dé Sweet Beans is a food provider currently located inside Kathmandu University School of Management, Balkumari, Lalitpur.

We offer Nescafe (Milk Coffee), Nescafe (Black Coffee), Nestea (Milk Tea), Regular Milk Tea, Regular Black Tea, Pepsi, Slice, Mountain Dew, 7UP, Mirinda, Bakery Products from Nepal Dairy.","
                                                    Food
                                                    Fast Food
                                                    Sweet Beans
                                                    Coffee
                                                    MoMo
                                                    Burger
                                                    Nepal
                                            ","Funding Type                                :  Seed Round","Total Funding Received                                :  0 - 1million","Total Funding Expected                                :  1 - 10 million","Team Size: 1-10","KUSOM, Pinchhe Tole, Balkumari, Lalitpur, Nepal ","info.sweetbeans@gmail.com","http://mysweetbeans.com/ "
"70","Deal gara.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal"," ","http://www.dealgara.com/"
"71","dealsmandu.com","Funding","Launched","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Gairidhara , Kathmandu, Nepal","enquiries.dealsmandu@gmail.com","https://dealsmandu.com.np"
"72","Dench Stores","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Anamnagar-32,Kathmandu, Nepal","info@denchstores.com","www.denchstores.com"
"73","Design Labs","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal"," ","www.behance.net/DesignNepal"
"74","Desire Adventures","","","character(0)","character(0)","Funding Type                                :  ","Total Funding Received                                :  None","Total Funding Expected                                :  None","character(0)","tredevi marg
thamel","info@desireadventures.com","www.desireadventures.com"
"75","Dial Nepal","Funding","Launched","Nepal's Local Search Engine,
Dial Nepal's search service bridges the gap between the users and businesses by helping users find relevant providers of products and services quickly, while helping businesses listed in Dial Nepal's database to market their offerings. Dial Nepal has also initiated its ‘Search Plus’ Services for the users. These services are aimed at making several day-to-day tasks conveniently actionable and accessible to the users. With this step, Dial Nepal is transitioning from being purely a provider of local search and related information to being an enabler of such transactions. Dial Nepal intends to provide an online platform to thousands of SME’s to get them discovered and transacted.","
                                                    dialnepal
                                                    digitalnepal
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  Undisclosed","Total Funding Expected                                :  Undisclosed","Team Size: 1-10","Ratna Rajmarg 13, Nepalgunj , Hotel Sneha
Nepalgunj, Banke","info@dialnp.com","www.dialnp.com"
"76","Digital Terai","Co-working Space","Launched","Specialized in digital marketing and branding, we help local businesses convert into online Brand. We have expert team of search engine marketers, content writer and growth hacker to help you achieve your marketing goal.


Services:

SEO: Get Professional SEO services in Nepal to rank your website on top of Google & increase your qualified leads with Nepal's Top SEO company. Call (9863992047) Now!

Local SEO: Digital Terai provides expert Local SEO services in Nepal to increase your visibility with Google My Business optimization, local citations & other strategies.

Social Media management

Digital Branding

Web Design

Graphics Design

Web development","
                                                    Digital Marketing Agency in Nepal
                                                    Digital Marketing Nepal
                                                    Digital Marketing company in Nepal
                                                    SEO services in Nepal
                                                    SEO company in Nepal
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  0 - 1million","Team Size: 11-50","New Baneshwor, Kathmandu, Bagmati","digitalterai@gmail.com","http://digitalterai.com/"
"77","Digitalaya Pvt. Ltd","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Jwagal, Kupondole"," ","www.digitalaya.com"
"78","Dream Deals Nepal","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal","ankit.goenka28@hotmail.com","www.dreamdeals.com"
"79","Drishtanta","Funding","Launched","Drishtanta is a media platform that is focused on sharing interviews with the inspiring people of Nepal who have achieved success in their fields, with the hopes of inspiring the young generation by letting them know about the journeys of (probably) their idols in different fields.","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  0 - 1million","Team Size: 1-10","Siphal, Kathmandu","drishtantablog@gmail.com","http://www.drishtanta.com/"
"80","Dublr app.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal"," ","www.dublrapp.com"
"81","Earthquake alert Nepal","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal","info@bmpinfology.co","www.bmpinfology.com"
"82","edusanjal.com ","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Utsbi Plaza, Baghbazar, Kathmandu, Nepal","info@edusanjal.com","www.edusanjal.com"
"83","Edushala","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Pulchowk, Lalitpur, Nepal","team@edushala.com","www.edushala.com"
"84","Edwise Foundation","Funding","Project","character(0)","
                                                    best_consultancy_for_US_processing_in_nepal
                                                    top_consultancy_for_US_processing_in_nepal
                                                    study_in_usa_from_nepal
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 11-50","Subhashree Complex 6th &7th floor New Plaza, Kathmandu","info@edwisefoundation.com","http://www.edwisefoundation.com/"
"85","EK CALL HOME SOLUTIONS PVT. LTD","Funding","Public Beta","We provide various types of technicians for the repairing and maintenance work at reasonable rate and with time bound guarantee.

List of technician's available :
1) Plumber
2) Electrician
3) Electronic Technician ( TV, Freeze , oven etc)
4) Carpenter
5) Painter
6) Aluminium Technician
","
                                                    plumber
                                                    electrician
                                                    refrigeration
                                                    tv
                                                    fan
                                                    painter
                                                    carpenter
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","POKHARA","bimal@ekcallhs.com","www.ekcallhs.com"
"86","Enroz Group P. Ltd","Co-working Space","Launched","Enroz is an online shopping in Nepal based on electronics platform for our valuable customer where they can buy branded shoes, clothes, mobile phone, fashion wear, consumer electronics product and much more with best price. Not only that we have all possible platform for anything as per demand of our customer.","
                                                    Online Shopping
                                            ","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Old Baneshwor, Kathmandu, Nepal","info@enroz.com","https://www.enroz.com"
"87","Entrust Solution Nepal Pvt. Ltd","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Bakundol, Lalitpur, Nepal","info@ensolnepal.com","www.ensolnepal.com"
"88","Everest Base Camp Helicopter Tour","Other Opportunities","Launched","Everest Base Camp Helicopter Tour in Nepal is best option for those mountain lovers who prefers to observe eye catching views. The charter Everest helicopter flight landing tour is with reliable cost having option of sharing or private ride to world’s most famous Everest Base Camp departures everyday from Kathmandu to observe plentiful impressive Himalayan ranges of Everest region.

Everest Helicopter flight tour to visit Kalapatthar View point on left side of Khumbu glacier most liked flight tour in Nepal. Instead of planning almost two week long trek to Base Camp enjoy massive vistas of Everest region within one day Everest Helicopter tour from Kathmandu. If you are with lack of time and still prefer to see enormous world’s highest peak and its surrounding series of Himalayas then Everest Helicopter sightseeing ride can be the single option.  Along with flight you will land at Kalapatthar and Everest Base Camp (EBC) with delicious breakfasts at Hotel Everest View.","
                                                    Everest Base Camp helicopter Tour
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 11-50","Z Street, Thamel, Kathmandu, Nepal","adventurediscoverytreks1@gmail.com","https://www.adventurediscoverytravel.com/destinations/nepal/nepal-tour/mt-everest-helicopter-flight-tour-to-base-camp.html"
"89","Everest Base Camp helicopter Tour (P) Ltd","Funding","Project","Everest Base Camp helicopter Tour (P) Ltd and Adventure Discovery travel 
company is one of the leading travel company in Nepal which has been providing 
top-most service for the travelers since its establishment in 1st January 2009. From the day if establishment this company has been facilitating to travelers in satisfactory manner. Casing all the features of travels and tourism this company has been established with over a decade of experience and professionalism. Our company has been well known by the Department of Tourism, government of Nepal. Similarly, this company has been affiliated with TAAN (Trekking Agents Association of Nepal), NMA (Nepal Mountaineering Association), HRA (Himalayan Rescue Association) and NTB (Nepal Tourism Board). With loads of experience over a decade, this company serve top quality services to the travelers.","
                                                    Everest Base Camp Helicopter tour
                                                    Annapurna Base Camp Helicopter Tour
                                                    Everest Trek
                                                    Everest Base Camp Trek
                                                    Manaslu trek
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","P.Box No: 25064,Thamel, Kathmandu, Nepal","info@everestbasecamphelicoptertour.com","https://everestbasecamphelicoptertour.com"
"90","Everest Experience and Assistance","Funding","Project","Everest Experience and Assistance is a well-reputed travel company that provides Mount Everest heli tour to Everest Base Cam, Annapurna Base Camp and other parts of Himalayan region. 
","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Nayabazar- 16 , Kathmandu, Nepal","info@everestassistance.com","https://everestassistance.com/"
"91","Evergreen Kid Zone","Other Opportunities","Others","Evergreen Kids Zone provides you all kinds of baby clothes toys, walker, baby cycles, remote cars, remote helicopters, balls, Jhula, birthday gifts, anniversary gifts, other occasional gifts, and much more at reasonable price 
","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kareshwor marga, Om Shanti Chowk, 100 Mtr From OM Shanti Chowk, to Nagendra Kanchha Chowk, shantinagar, Kathmandu","info.egtoys@gmail.com","character(0)"
"92","Evostore","Other Opportunities","Project","EvoStore, launched by Evolution Trading Pvt. Ltd in 2007, is a retail brand specializing in Apple products, accessories and after sales support operated in different commercial hubs of Nepal like Sherpa Mall (Durbar Marg), Mercantile Plaza (Durbar Mar) , Labim Mall (Pulchowk, Lalitpur) and Mid-Town Galleria (New Road, Pokhara). We are authorized Apple Store in Kathmandu providing services as Apple Service Center in Nepal and as the Authorized Apple Reseller in Nepal. We even avail your favorite brands near you with EMI facilities from its partner banks.

Brands and Products offered:
1. Apple (CPU, IPODS, iPhone, Mac Mini, and iPad) – Apple Authorized Reseller & Apple Authorized Service Provider.
2. Bose Corporation (Professional and Home Entertainment Sound Systems)
3. JBL Harman International (Portable Bluetooth Speakers, Headphones and Multimedia Sound Systems)
4. Apple Accessories: Thule, Case Logic, Rearth other Apple compatible accessories.
5. Harman Kardon Multimedia Speakers 
6. Beats by Dr. Dre 
7. Panasonic Phones 
8. Optoma, Vivitek, NEC Projectors and accessories
","
                                                    Apple Store in Nepal
                                                    Authorised apple reseller in Nepal
                                                    iPhone Store in Nepal
                                            ","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Mercantile Plaza, Ground Floor, Durbar Marg, Kathmandu
","applecare@evostore.com.np","http://evostore.com.np/"
"93","Eyefinity It Pvt. Ltd","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Patan Dhoka, Lalitpur, Nepal"," ","www.eyefinity.com"
"94","Facts Nepal","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","New Baneshwor-Tinkune- Old Baneshwor- Sinamangal","info@factsnepal.com","www.factsnepal.com"
"95","Filmmaking for rural kids","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Lalitpur, Nepal","sharma.robin21@gmail.com","character(0)"
"96","Flipkarma- phunka technologies","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Lalitpur, Nepal"," ","www.flipkarma.com"
"97","Fonekeen.com","Funding","Project","Fonekeen is a online marketplace for Mobile Phones & Accessories, where the customers can find the cheapest price of the mobile phones they are willing to buy from the market. ","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","New Baneshwor, Kathmandu","fonekeen@gmail.com","character(0)"
"98","Foodexnepal","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Panchakanya, Baluwatar-4, Kathmandu, Nepal","info@foodexnepal.com","www.foodexnepal.com"
"99","Foodmandu.com","Other Opportunities","Others","c("""", ""Foodmandu is the first and only company in Nepal that provides multi-restaurant food ordering and delivery service."")","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Baluwatar, Kathmandu, Nepal"," ","www.foodmandu.com"
"100","Gharbeti","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10"," Kathmandu, Nepal"," ","www.gharbeti.com"
"101","Gharpasal.com","Other Opportunities","Others","c("""", ""Gharpasal.com is an online shopping site which enables you to buy or sell anything from home."")","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Bashundhara, Kathmandu, Nepal"," ","www.gharpasal.com"
"102","Global Holidays Adventure Pvt.Ltd.","Other Opportunities","Launched","Global Holidays Adventure Pvt. Ltd is a government registered trekking company administered by the highly qualified, motivated and result-oriented professional trekking and tour leaders of Nepal to promote adventure tourism within Nepal, Tibet and Bhutan.

We provide every kind of tour packages to adventure seekers. Everest Base Camp Trekking, Annapurna Base Camp Trekking, Nepal Peak Climbing, tour in Nepal, trekking to other prominent destinations in Nepal and packages for adventurous activities in Nepal, and many more.","
                                                    trekking in Nepal
                                                    tour in Nepal
                                                    everest base camp trekking
                                                    nepal peak climbing
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 11-50","Bhagawan Bahal Thamel, Kathmandu Nepal","info@nepaltraveladventure.com","https://www.nepaltraveladventure.com/everest-base-camp-trekking.php"
"103","Glocal Pvt. Ltd.","Other Opportunities","Project","
Glocal Pvt. Ltd. is a company which works as online media, ECAs, CSR and Brand Consultation and web/app development company. Glocal promotes collaboration and believes in creating business synergies.","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Hanumansthan, Anamnagar, Kathmandu, Nepal","info@glocalnepal.com","http://glocalnepal.com/"
"104","Glorious Himalaya Trekking Pvt Ltd.","Co-working Space","Others","Glorious Himalaya Trekking is a pioneer adventure holidays tour operator having a decade of extensive experiences in Himalayan activities over Nepal and autonomous Tibet region. We make arrangements for TRULY SPECIAL HOLIDAYS. Creating a special holiday makes us more than happy. Since our inception, we have stayed true to our core missions, such as trekking, hiking, climbing, rafting, and other tourism activities. In addition to this, we also have all Inclusive holidays, customized holidays, short treks, long treks and plenty of adventure activities to suit your tastes, wishes, needs, requirements, and budgets. You name it, you have it.

Fully governed, licensed and registered, Glorious Himalaya Trekking guarantees that both your holiday and money are safe. This is the reason, why we are the most trusted trekking agency of Nepal. With this humble beginning, we have been providing a quality service, and there aren’t any places that we have not visited in Nepal.","
                                                    trekking in Nepal
                                                    holidays
                                                    hiking
                                                    travel
                                                    tours
                                                    trekking
                                                    expeditions
                                                    Mountains
                                                    Himalayas
                                                    
                                            ","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Ekikaran Sadak, Kathmandu, Nepal","info@glorioushimalaya.com","http://www.glorioushimalaya.com"
"105","Glorious Himalaya Trekking Pvt. Ltd.","Other Opportunities","Others","Glorious Himalaya Trekking is a renowned adventure holiday’s local trekking and tour agency based in Kathmandu, Nepal which helps you explores the natural, historical and cultural beauty of Nepal. With more than decade long experience of many successful hiking and expeditions across Nepal and Tibet, we help you have trekking and adventurous walk under the lap of great Himalayas. We deal in trekking, peak climbing, adventurous sports, sightseeing, mountain flight, jungle safari and also Tibet tour. On the other hand, we can provide you among the best services for the world famous treks like Everest Base Camp and Annapurna Circuit as well as treks to comparatively unknown locations.","
                                                    trekking in Nepal
                                                    adventure holidays in Nepal
                                                    travel
                                                    tours
                                                    Nepal
                                                    Tours
                                                    adventure
                                                    Hiking
                                                    
                                            ","Funding Type                                :  Others","Total Funding Received                                :  0 - 1million","Total Funding Expected                                :  None","Team Size: 1-10","Ekikaran Sadak, Kathmandu","info@glorioushimalaya.com","http://www.glorioushimalaya.com"
"106","Go on Girl","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal"," ","www.goongirl.np"
"107","GoGazzab","Funding","Launched","character(0)","
                                                    gogazzab
                                                    online shopping nepal
                                                    ecommerce
                                                    startups
                                            ","Funding Type                                :  ","Total Funding Received                                :  Undisclosed","Total Funding Expected                                :  Undisclosed","Team Size: 11-50","Lamatangin Marg, Baluwatar-4 (Opp of NRB), Kathmandu, Nepal","hello@gogazzab.com","http://gogazzab.com/"
"108","Goreto Software","Funding","Project","character(0)","
                                                    software
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Lakeside Road, Pokhara (inside Nepal Mandala Complex)","contact@goretosoftware.com","http://goretosoftware.com"
"109","Grapes Webhosting Nepal","Funding","Launched","character(0)","
                                                    Web Hosting
                                                    Domain Name
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  Undisclosed","Team Size: 1-10","Lagankhel, Lalitpur","info@grapes.com.np","https://grapes.com.np"
"110","Green Design Nepal","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Sankhamul Tower, Sankhamul, Kathmandu , Nepal","greendesign7@gmail.com","character(0)"
"111","Grepsr","Other Opportunities","Others","c("""", ""Grepsr is a Cloud based, managed data extraction and web crawling service to extract data from websites, emails, documents etc."")","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Bhim Plaza, 4th floor, Naxal, Kathmandu, Nepal","grepsr@gmail.com","www.grepsr.com"
"112","GrowthMama","Funding","Acquired","GrowthMama is a full-service Internet marketing and SEO company offering innovative web marketing solutions to mid to large size companies. As an innovative leader in SEO, web design and Internet marketing services, our firm prides ourselves on driving traffic, converting visitors, and measuring effectiveness to ultimately deliver real results for our clients.","
                                                    Content
                                                    influence marketing
                                                    lead generation
                                                    digital marketing.
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  1 - 10 million","Team Size: 1-10","Nayabazar, Kathamndu","info@growthmama.com","growthmama.com"
"113","Gtech Developers","Funding","Pvt. Beta","We are a startup tech company, started by a group of friends(10 people) studying Computer Engineering in Kathmandu Engineering College. We provide Web Development and Design Services, Logo Designing Services, Android Development and Design Services, System Design and Services. As we still have a year left to complete our Bachelors in Computer Engineering, the main objective of the establishment of this startup was to utilize our free time and improve our programming and coding skills and analysis.
The main goal of our startup is to provide the community with useful services, especially by delivering mobile-phones based android apps that help in the day-to-day life of as many individuals as possible in any way possible. We are ready to listen to ideas from the public, and if we think we like it and can design the product we are ready to buy the idea from the public. We are looking for ideas which will change our day-to-day life in anyway possible. ","
                                                    Web Development
                                                    Web Designing
                                                    Android Development
                                                    Logo Design
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 11-50","Balaju-16, Kathmandu, Nepal","developersgtech@gmail.com","character(0)"
"114","Haat Bazzar Nepal","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal","info@ibmfund.com","www.haatbazaarnepal.com"
"115","Hamra Kura.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Dillibazar, Kathmandu, Nepal","enter.ictnepal@gmail.com","www.hamrakura.com"
"116","Hamro Blood- Phunka technologies","Other Opportunities","Others","c("""", ""National Blood Donors Directory aims to provide fresh blood through individuals in cases of emergency needs while the blood bank is not an option. "")","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal"," ","www.hamroblood.com"
"117","Hamro Bus.com","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Tinkune, Kathmandu, Nepal","info@hamrobus.com","www.hamrobus.com"
"118","Hamro Home","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal","getdhanu@gmail.com","www.hamrohome.com"
"119","Hamro Lagani","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal"," ","www.hamrolagani.com"
"120","Hamro Sajha","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Putalisadak, Kathmandu","contact@lunivatech.com","www.lunivatech.com"
"121","Hamro School.Org- Phunka Technologies","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Durbar Marg, Kathmandu, Nepal","info@phunka.com","www.hamroschool.org"
"122","HamroResult","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kathmandu, Nepal"," ","www.hamroresult.com"
"123","Hansikar Technologies","Funding","Project","character(0)","
                                                    Digital Marketing Company in nepal
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 11-50","Jagritinagar, Shantinagar, Kathmandu","info@hansikar.com","http://hansikar.com"
"124","HAPPY HOURS","Funding","Others","We are into RETAIL AND WHOLESALE of toys in Kathmandu. We make you available all the kinds and categories of playing toys and games at your doorstep. Free home delivery all over Nepal. We currently have 2 outlets in Kathmandu one is at Durbarmarg (after hotel woodland towards jamal) another is at Maharajgunj ( opposite to Nirmas Niwas)","
                                                    TOYS / GAMES / BABY PRODUCTS / KHELAUNA
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","DURBARMARG / MAHARAJGUNJ","agrawal.saket@hotmail.com","character(0)"
"125","Hawk Nepal","Funding","Launched","Hawk Nepal is a Web Design and Digital Advertising Agency based in Nepal. Hawk Nepal is expertise in Digital Marketing, Web Development, Web Design, Mobile App, Graphic Design, Branding, SEO and much more.

Our Story

Mission ‘Digital Nepal’
Hawk Nepal was founded in 2017 . We specialize in web development, website design, eCommerce development, mobile application, custom development, softwares, branding and SEO. We never let you pay more than you need, or give less attention than you deserve. We are privately funded so we do not rely on venture capital and operate on a continuously profitable basis, thus are able to maintain all operations and growth with the current revenues.Our philosophy is ""complete customer satisfaction."" We are a people-oriented company, wherein we work Person-to-Person and not Business-to-Business.
What we do 
We Provide professional web solutions like web hosting, website Designing, web application development. We have been pioneers in Web solutions for the last 1 years. We also redesign websites and add more features such as E-commerce and payment gateways. 
How we work 
 Currently, we are the team of 8 specialists with strong customer focus. We assist small, medium and large companies in building their professional web presence. Your website is worked over by:
Basic & Advanced Web Design
Creative web designers
Responsible project managers
Experienced quality testers
Professional marketing team
Hawk Nepal uses fresh and innovative ideas
Client Base of 100+ websites from Nepal
Hawk Nepal is no.1 digital marketing company .
","
                                                    Software
                                                    Web Development
                                                    Mobile application development
                                                    Celebrity Branding
                                            ","Funding Type                                :  ","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Buddhabasti Bardaghat 14 Nawalparasi Lumbini Nepal 33008","contact@hawknepal.tech","www.hawknepal.tech"
"126","Help at Home","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Prayag Marg 9, Kathmandu, Nepal "," ","www.helpathome.com.np"
"127","help2shine","Funding","Launched","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Buddhanagar-10, Kathmandu","help2shinenepal@gmail.com","character(0)"
"128","hernajam","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Anamnagar Chowk, Kathmandu
https://hernajam.com","seoanita01@gmail.com","https://hernajam.com/"
"129","himalaya traders & export","Funding","Project","Himalaya traders and export is the manufacturer and exporter of premier cashmere Pashmina products registered under the Nepal Government’s Private Firm Registration Act, 1957. ","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","thamel, kathmandu","info@himalayaexport.com"," www.himalayaexport.com"
"130","Himalayan Holy Land Treks and Expedition","Funding","Project","Nepal is wonderful nation with fabulous and alluring frigid mountains. Mount Everest itself is the most astounding crest on the planet. Mt. Machhapuchhre, Mt. Annapurna and Dhaulagiri are the other leading mountains. In another meaning, these mountains are impression of normal Beauty. While talking about trekking in these zones, different components like lakes, waterways, and caverns, religious and social legacies and so on, it can't be confined in light of the fact that they have a connection with different mountains or they can be met when you are in the trekking to those stunning mountains. 

In this way, trekking in Nepal isn't just stroll to mountain yet additionally a brilliant chance to have an immediate perspective of delightful spots, lakes, waterways, sanctuaries et cetera. Additionally, one can even get a chance to comprehend the general population's way of life over yonder. Individuals more often than not incline toward Nepal trekking to revive their mind and they need to be free from the weight of their work for a brief timeframe. So the demonstration of trekking is certifiably not a typical tack yet a periodic. They wish their intermittent trekking would be brimming with refreshing and loaded with delight. For, this the vast majority of the general population pick Nepal is great destination for trekking.","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Kaldhara Marga, Thamel","info@himalayanholylandtreks.com","http://www.himalayanholylandtreks.com/"
